LoanID,LoanAmount,Income,Age,CreditScore,ExistingEMI,EmploymentStatus,Tenure,MaritalStatus,Dependents,RepaymentHistory,Purpose,Stage,DelinquencyCount12M,DefaultStatus
51,958277,35342,31,435,14481,Self-Employed,49,Divorced,1,Average,Car Loan,File,4,0
52,910778,11913,38,555,6955,Unemployed,53,Divorced,3,Good,Home Loan,Disbursement,0,0
53,596723,31999,22,506,8133,Retired,7,Widowed,2,Good,Car Loan,File,4,0
54,324030,33748,55,321,17837,Unemployed,55,Divorced,3,Good,Personal Loan,Disbursement,3,0
55,333947,34331,26,334,12851,Self-Employed,51,Married,3,Average,Personal Loan,Disbursement,3,0
56,560839,36224,23,597,10957,Employed,23,Married,1,Average,Home Loan,File,1,0
57,907648,36363,27,392,12559,Retired,55,Single,2,Good,Personal Loan,Lead,4,0
58,278538,26692,55,427,15222,Employed,59,Single,4,Good,Business Loan,Lead,3,0
59,336236,9986,33,838,17786,Employed,11,Married,1,Good,Business Loan,Disbursement,1,0
60,533178,15146,58,624,13257,Unemployed,14,Divorced,3,Average,Business Loan,Sanction,2,0
61,570894,35599,22,808,15422,Employed,8,Single,0,Good,Business Loan,Disbursement,1,0
62,494492,23352,22,675,12368,Self-Employed,37,Married,2,Average,Home Loan,File,0,0
63,261840,12973,28,743,9014,Self-Employed,23,Married,2,Good,Personal Loan,Disbursement,3,0
64,478254,20501,29,834,16713,Retired,42,Divorced,3,Good,Business Loan,Disbursement,2,0
65,354457,22866,54,823,10263,Retired,11,Divorced,0,Good,Personal Loan,Lead,1,0
66,670987,20390,59,540,14616,Unemployed,6,Married,2,Average,Home Loan,File,4,0
67,275936,29712,51,738,8824,Retired,33,Married,1,Good,Home Loan,File,3,0
68,244931,7694,49,797,14529,Unemployed,19,Divorced,3,Good,Car Loan,Sanction,4,0
69,244629,21463,56,507,9894,Employed,48,Divorced,0,Average,Business Loan,Lead,2,0
70,210041,23662,42,364,394,Unemployed,33,Widowed,4,Good,Home Loan,File,3,0
71,703361,2010,43,606,13197,Retired,24,Married,2,Poor,Personal Loan,Sanction,1,0
72,736912,39648,33,759,3809,Unemployed,24,Single,3,Good,Home Loan,Disbursement,4,0
73,422113,29515,55,755,7969,Unemployed,25,Single,4,Good,Business Loan,Disbursement,4,0
74,73148,12846,64,530,3684,Retired,22,Single,0,Good,Car Loan,File,0,0
75,782089,30026,23,827,10830,Self-Employed,28,Divorced,2,Average,Home Loan,Lead,0,0
76,653531,18982,29,304,12984,Self-Employed,8,Divorced,1,Good,Personal Loan,Sanction,1,0
77,256995,19207,38,470,8856,Employed,49,Widowed,0,Good,Car Loan,Lead,1,0
78,911606,39985,46,792,19739,Self-Employed,7,Single,2,Good,Business Loan,Sanction,2,0
79,683843,14306,49,356,11020,Retired,38,Divorced,3,Good,Home Loan,Disbursement,0,0
80,915790,2312,32,396,16311,Unemployed,15,Widowed,4,Good,Home Loan,File,4,0
81,577843,8671,59,813,816,Employed,29,Single,3,Good,Business Loan,Lead,2,0
82,261508,25084,43,439,4118,Employed,10,Married,4,Good,Home Loan,Disbursement,4,0
83,808591,37260,39,669,16831,Employed,36,Divorced,1,Good,Car Loan,Lead,3,0
84,901942,18614,44,722,13756,Retired,20,Married,4,Average,Home Loan,Disbursement,0,0
85,111530,12864,64,746,9263,Self-Employed,15,Married,4,Good,Car Loan,Sanction,1,0
86,609365,17224,63,311,15669,Retired,27,Single,3,Good,Home Loan,Disbursement,1,0
87,827352,2043,64,461,14130,Retired,44,Widowed,2,Average,Personal Loan,Sanction,0,0
88,465337,26476,50,316,3610,Self-Employed,57,Married,2,Average,Home Loan,File,4,0
89,729839,29500,51,329,2609,Self-Employed,48,Single,1,Good,Personal Loan,Sanction,3,0
90,810889,30269,39,385,5832,Employed,15,Married,4,Good,Personal Loan,Lead,0,0
91,464773,21841,41,720,4732,Employed,34,Widowed,2,Good,Personal Loan,Lead,0,0
92,213261,32931,30,507,4474,Self-Employed,50,Widowed,2,Average,Home Loan,File,4,0
93,769469,7615,24,581,7893,Employed,23,Married,4,Good,Car Loan,Sanction,2,0
94,346097,29961,38,731,14528,Retired,59,Widowed,4,Poor,Personal Loan,File,0,0
95,320139,34513,57,595,13778,Retired,20,Married,1,Good,Car Loan,Sanction,4,0
96,176829,23890,40,655,18534,Self-Employed,19,Divorced,2,Good,Car Loan,Lead,4,0
97,276836,28870,56,777,15778,Unemployed,24,Divorced,2,Good,Car Loan,Lead,1,0
98,443974,37763,52,367,14606,Retired,37,Divorced,4,Average,Personal Loan,Sanction,4,0
99,994913,26746,47,358,16327,Employed,36,Widowed,2,Good,Home Loan,Sanction,2,0
100,207283,39109,61,509,15480,Self-Employed,42,Divorced,2,Average,Personal Loan,Disbursement,2,0
101,201769,31836,44,778,11462,Employed,41,Single,4,Average,Business Loan,Disbursement,2,0
102,566353,11831,49,787,2493,Employed,32,Divorced,0,Average,Personal Loan,File,4,0
103,228165,35384,44,439,15786,Retired,55,Married,0,Good,Business Loan,Lead,1,0
104,628587,35007,49,458,12409,Employed,6,Widowed,0,Average,Home Loan,Lead,2,0
105,955110,31069,59,455,7143,Unemployed,32,Divorced,4,Good,Personal Loan,Disbursement,2,0
106,540822,19196,38,399,9977,Employed,18,Widowed,0,Good,Business Loan,Sanction,1,0
107,492879,6999,30,581,13561,Self-Employed,8,Single,2,Average,Personal Loan,Sanction,2,0
108,569685,26026,29,540,10501,Self-Employed,23,Single,3,Good,Home Loan,Sanction,3,0
109,787038,3730,31,824,11482,Self-Employed,18,Divorced,3,Average,Home Loan,Disbursement,3,0
110,358531,5424,32,765,11611,Retired,41,Divorced,3,Average,Car Loan,File,2,0
111,268160,31716,22,790,3782,Employed,48,Divorced,4,Good,Business Loan,File,0,0
112,584879,33226,46,596,15599,Employed,53,Divorced,2,Good,Business Loan,Lead,3,0
113,225884,4207,29,587,4203,Retired,51,Single,4,Good,Car Loan,Sanction,2,0
114,28247,15031,37,784,4234,Retired,55,Widowed,2,Good,Home Loan,Sanction,4,0
115,29300,30008,55,676,8871,Employed,28,Single,3,Good,Car Loan,Disbursement,3,0
116,472281,31484,23,654,18220,Unemployed,27,Married,1,Good,Home Loan,Sanction,1,0
117,612086,5368,26,605,17604,Unemployed,50,Widowed,0,Good,Business Loan,Disbursement,4,0
118,538556,23855,63,302,13224,Retired,16,Single,3,Average,Personal Loan,Lead,2,0
119,353951,4227,43,809,10941,Employed,33,Divorced,3,Good,Home Loan,Sanction,2,0
120,279329,32322,55,537,11891,Retired,57,Single,1,Good,Personal Loan,Disbursement,4,0
121,724064,14817,35,705,5989,Employed,28,Single,4,Good,Car Loan,Sanction,4,0
122,747139,15226,28,571,11459,Employed,15,Married,2,Good,Car Loan,Disbursement,4,0
123,437315,33157,52,668,5375,Employed,6,Divorced,2,Good,Business Loan,Lead,2,0
124,931075,22764,54,621,10614,Employed,30,Divorced,4,Good,Home Loan,Sanction,3,0
125,521588,20204,31,739,864,Retired,46,Married,2,Good,Personal Loan,Sanction,4,0
126,241584,2188,23,385,3353,Self-Employed,23,Married,2,Good,Car Loan,Sanction,0,0
127,567332,32397,49,825,988,Self-Employed,59,Divorced,0,Good,Home Loan,Sanction,0,0
128,842646,11414,30,803,19598,Unemployed,32,Widowed,4,Good,Car Loan,Disbursement,1,0
129,983732,39989,38,368,12721,Employed,26,Divorced,2,Good,Home Loan,Sanction,2,0
130,381896,8746,38,454,16492,Self-Employed,48,Married,4,Average,Car Loan,Disbursement,4,0
131,53984,16331,32,763,90,Retired,53,Divorced,2,Average,Home Loan,Sanction,2,0
132,307918,13254,47,386,1987,Employed,46,Divorced,2,Good,Car Loan,File,0,0
133,269712,12217,39,373,12663,Self-Employed,22,Married,2,Good,Business Loan,Disbursement,2,0
134,125151,17583,61,522,17099,Self-Employed,59,Single,3,Average,Business Loan,Sanction,3,0
135,460808,39380,53,326,19908,Retired,10,Single,2,Poor,Personal Loan,File,1,1
136,990067,36318,45,403,14657,Retired,56,Single,4,Good,Personal Loan,Sanction,4,0
137,138767,17800,64,358,6246,Unemployed,28,Married,0,Good,Car Loan,File,2,0
138,653663,32212,22,378,17311,Employed,53,Widowed,1,Good,Car Loan,File,3,0
139,708550,29492,22,451,3383,Retired,16,Married,4,Good,Home Loan,Sanction,3,0
140,141330,34592,25,398,9624,Retired,55,Divorced,4,Good,Car Loan,File,3,0
141,485754,7233,42,440,565,Retired,21,Divorced,1,Good,Home Loan,Disbursement,0,0
142,306648,24019,53,351,8332,Employed,14,Widowed,2,Good,Home Loan,Disbursement,4,0
143,693519,13447,64,395,9261,Self-Employed,19,Divorced,4,Good,Car Loan,Lead,2,0
144,18986,16036,25,512,9513,Unemployed,42,Widowed,2,Good,Home Loan,Disbursement,4,0
145,591146,12998,48,457,15988,Employed,46,Widowed,4,Good,Personal Loan,Disbursement,4,0
146,134312,34801,34,353,10678,Retired,53,Single,4,Good,Business Loan,Lead,4,0
147,17666,26871,60,678,9941,Self-Employed,40,Divorced,0,Poor,Business Loan,Lead,4,0
148,305804,29076,63,486,15724,Self-Employed,13,Divorced,1,Average,Personal Loan,Lead,4,0
149,139633,30152,30,602,10959,Retired,15,Divorced,2,Average,Car Loan,Sanction,2,0
150,293998,3429,61,387,8727,Unemployed,49,Divorced,3,Good,Business Loan,Sanction,3,0
151,855937,12381,35,479,2618,Unemployed,13,Single,1,Good,Home Loan,Lead,0,0
152,633776,3987,30,576,7633,Employed,18,Single,3,Poor,Business Loan,File,2,0
153,712611,31319,24,487,9607,Unemployed,52,Widowed,4,Good,Business Loan,Sanction,1,0
154,289806,24655,63,475,11394,Self-Employed,38,Single,2,Average,Personal Loan,Sanction,3,0
155,799824,21266,38,373,6670,Unemployed,35,Divorced,3,Good,Personal Loan,Sanction,3,0
156,35535,13889,37,439,13768,Self-Employed,20,Divorced,1,Good,Personal Loan,Sanction,1,0
157,380713,3547,51,770,19872,Employed,21,Married,0,Poor,Business Loan,Lead,3,0
158,843688,35281,53,415,19121,Self-Employed,25,Married,3,Good,Personal Loan,Disbursement,1,0
159,356279,15550,45,738,14255,Self-Employed,41,Widowed,3,Average,Personal Loan,Sanction,1,0
160,918910,7174,32,558,1855,Unemployed,46,Widowed,3,Good,Business Loan,Sanction,2,0
161,826654,38334,41,673,4660,Retired,8,Divorced,3,Good,Personal Loan,Disbursement,0,0
162,606661,22187,37,705,5680,Employed,52,Divorced,1,Average,Car Loan,Sanction,3,0
163,652972,5938,40,794,15165,Retired,21,Widowed,3,Poor,Personal Loan,File,4,0
164,494570,3471,49,549,912,Employed,44,Widowed,2,Average,Car Loan,Disbursement,0,0
165,461551,18721,23,372,14136,Self-Employed,17,Divorced,2,Good,Car Loan,Disbursement,0,0
166,278109,9051,27,576,6200,Unemployed,46,Single,3,Good,Home Loan,Lead,4,0
167,29538,9444,53,720,11252,Unemployed,57,Single,4,Poor,Business Loan,Lead,4,0
168,899498,29657,46,460,15941,Self-Employed,21,Divorced,2,Good,Car Loan,Lead,0,0
169,206664,38180,40,620,14662,Unemployed,12,Divorced,4,Good,Business Loan,Disbursement,0,0
170,496234,31799,63,664,5142,Retired,39,Single,2,Good,Home Loan,Disbursement,3,0
171,904684,4392,57,626,14551,Employed,30,Widowed,0,Good,Business Loan,File,2,0
172,144182,17729,52,339,14590,Employed,54,Widowed,2,Average,Home Loan,Lead,3,0
173,477525,35744,55,618,10499,Retired,54,Divorced,3,Good,Business Loan,File,3,0
174,163338,31709,41,788,15557,Employed,58,Divorced,3,Good,Personal Loan,Sanction,2,0
175,189064,38836,61,459,3009,Employed,33,Single,2,Good,Business Loan,Lead,3,0
176,219020,11895,28,735,17415,Employed,42,Married,1,Average,Home Loan,File,3,0
177,628094,19255,22,840,15061,Self-Employed,39,Widowed,3,Average,Personal Loan,Lead,0,0
178,929414,5409,36,365,18476,Retired,50,Divorced,4,Average,Home Loan,Lead,2,0
179,902421,14744,47,766,904,Retired,34,Divorced,1,Poor,Car Loan,File,2,0
180,620270,3549,56,398,941,Retired,7,Married,0,Average,Personal Loan,Lead,1,0
181,650914,17085,30,839,16436,Self-Employed,10,Divorced,2,Good,Business Loan,Sanction,1,0
182,124176,22845,48,701,1310,Employed,28,Divorced,3,Good,Car Loan,File,1,0
183,922710,16736,37,537,514,Self-Employed,58,Widowed,3,Good,Personal Loan,Disbursement,2,0
184,223126,37389,45,579,109,Unemployed,10,Widowed,4,Good,Home Loan,File,0,0
185,223969,4529,35,840,2329,Unemployed,55,Single,3,Good,Car Loan,Sanction,4,0
186,127409,28932,38,791,10498,Employed,50,Divorced,4,Good,Business Loan,File,0,0
187,552707,10351,48,795,15961,Self-Employed,43,Divorced,3,Average,Car Loan,Disbursement,0,0
188,973140,13000,22,385,18357,Employed,52,Married,1,Average,Home Loan,Lead,4,0
189,258618,37349,60,456,7964,Unemployed,58,Widowed,4,Good,Personal Loan,Sanction,4,0
190,774598,24949,62,575,8416,Employed,59,Single,3,Good,Car Loan,File,2,0
191,55015,29569,51,749,10719,Unemployed,42,Widowed,3,Good,Business Loan,Lead,0,0
192,777838,21318,51,367,19987,Employed,48,Widowed,3,Good,Home Loan,Lead,3,0
193,127096,20695,45,574,4412,Unemployed,29,Widowed,3,Good,Car Loan,File,4,0
194,636347,17168,21,699,3951,Unemployed,36,Divorced,1,Average,Business Loan,Sanction,4,0
195,190340,39096,38,598,19431,Employed,31,Divorced,1,Good,Home Loan,Sanction,1,0
196,115687,22712,36,406,6482,Unemployed,22,Single,3,Good,Personal Loan,File,4,0
197,879371,21500,62,511,4838,Unemployed,35,Married,2,Good,Business Loan,File,2,0
198,416357,5747,57,687,6000,Retired,30,Single,4,Good,Business Loan,File,2,0
199,740716,25208,61,570,8867,Self-Employed,26,Widowed,2,Good,Car Loan,Sanction,1,0
200,110878,36227,62,585,17953,Self-Employed,17,Single,3,Good,Car Loan,File,0,0
201,732270,6430,57,406,5558,Unemployed,22,Widowed,4,Good,Personal Loan,Lead,0,0
202,978548,20835,27,598,6567,Unemployed,20,Divorced,4,Good,Car Loan,File,2,0
203,203286,30927,26,313,10070,Employed,31,Single,0,Good,Home Loan,Sanction,3,0
204,778290,10963,34,601,17164,Retired,31,Married,4,Good,Car Loan,File,2,0
205,779684,23425,42,634,19809,Employed,27,Divorced,0,Good,Business Loan,Lead,1,0
206,169899,19495,51,320,4094,Employed,57,Single,3,Good,Business Loan,Sanction,3,0
207,978324,14598,30,631,15081,Retired,39,Married,2,Average,Car Loan,Disbursement,1,0
208,329767,11786,60,774,17902,Self-Employed,36,Divorced,3,Good,Business Loan,File,2,0
209,866882,12921,56,488,3258,Employed,59,Widowed,1,Good,Car Loan,Lead,1,0
210,884858,32253,61,502,2142,Employed,18,Married,3,Good,Car Loan,Disbursement,4,0
211,384989,21969,58,364,5433,Retired,47,Married,0,Good,Home Loan,Disbursement,0,0
212,420515,25985,54,708,9176,Employed,26,Divorced,1,Average,Car Loan,File,4,0
213,48585,13020,23,798,5904,Employed,20,Single,2,Good,Business Loan,Lead,1,0
214,376369,37141,43,764,10947,Employed,15,Married,2,Average,Business Loan,File,1,0
215,69044,31461,63,731,15669,Retired,37,Divorced,0,Good,Business Loan,Sanction,0,0
216,965061,16352,37,406,3609,Unemployed,34,Single,1,Good,Car Loan,Sanction,3,0
217,447296,17344,49,772,18417,Self-Employed,52,Single,0,Poor,Home Loan,Lead,4,0
218,114556,15125,21,334,16983,Self-Employed,27,Widowed,2,Good,Home Loan,File,1,0
219,531981,39491,23,503,1323,Self-Employed,20,Divorced,4,Poor,Business Loan,Lead,0,1
220,886691,21202,34,797,1095,Self-Employed,24,Single,4,Good,Car Loan,Disbursement,0,0
221,772595,2709,31,563,5385,Retired,40,Divorced,4,Good,Car Loan,Sanction,4,0
222,205235,8992,50,715,624,Employed,24,Married,3,Good,Home Loan,Sanction,0,0
223,30939,35506,41,345,19134,Retired,36,Single,2,Good,Car Loan,Sanction,4,0
224,971429,28354,36,696,8151,Self-Employed,39,Married,1,Average,Home Loan,Disbursement,1,0
225,965445,15233,29,588,12488,Unemployed,40,Divorced,3,Average,Home Loan,File,1,0
226,157906,6590,22,556,10139,Self-Employed,51,Widowed,2,Good,Home Loan,Sanction,3,0
227,547335,30706,46,366,6516,Unemployed,10,Single,1,Average,Personal Loan,Sanction,2,0
228,293249,15718,62,379,17317,Retired,28,Divorced,3,Good,Business Loan,Disbursement,3,0
229,80766,24471,23,733,12290,Employed,10,Divorced,0,Average,Home Loan,Lead,2,0
230,413923,38486,35,425,3046,Unemployed,42,Married,3,Average,Business Loan,File,0,0
231,420192,15105,32,715,17448,Retired,38,Single,2,Average,Car Loan,File,2,0
232,573550,7081,39,791,13945,Employed,18,Single,0,Good,Home Loan,Sanction,4,0
233,392261,28718,61,309,936,Unemployed,7,Single,0,Average,Business Loan,File,4,0
234,815208,22384,34,684,12788,Self-Employed,17,Single,3,Good,Personal Loan,Disbursement,1,0
235,690440,6545,35,754,11905,Retired,18,Widowed,4,Good,Home Loan,Sanction,0,0
236,657664,7339,43,562,3566,Unemployed,25,Widowed,4,Average,Home Loan,Lead,0,0
237,989346,17353,31,665,12572,Self-Employed,23,Divorced,2,Good,Home Loan,Sanction,3,0
238,459589,28376,63,367,11535,Employed,52,Single,0,Good,Home Loan,Sanction,0,0
239,142848,30028,23,431,7112,Unemployed,51,Single,4,Poor,Business Loan,Disbursement,3,1
240,622075,21100,63,644,5102,Employed,36,Married,2,Good,Home Loan,Sanction,1,0
241,132948,6302,21,816,14531,Self-Employed,18,Widowed,3,Good,Car Loan,Disbursement,3,0
242,584304,3809,24,610,5229,Retired,43,Single,3,Good,Car Loan,Disbursement,2,0
243,407690,30917,41,740,18286,Retired,59,Single,3,Average,Business Loan,Lead,0,0
244,504046,7830,45,374,2754,Employed,15,Married,4,Good,Business Loan,Sanction,4,0
245,456269,20381,40,375,2331,Employed,6,Single,3,Average,Home Loan,Disbursement,4,0
246,26959,4130,30,546,2355,Retired,42,Single,0,Good,Business Loan,File,3,0
247,665890,6412,38,379,8764,Self-Employed,32,Married,2,Average,Personal Loan,File,4,0
248,755216,12884,53,660,7913,Self-Employed,43,Married,3,Good,Car Loan,Sanction,1,0
249,910533,37564,55,821,12983,Unemployed,57,Married,3,Good,Home Loan,Lead,3,0
250,795180,26132,45,637,16987,Employed,19,Married,1,Good,Business Loan,Sanction,1,0
251,233576,24707,23,328,2795,Unemployed,25,Divorced,4,Good,Home Loan,Lead,1,0
252,542833,32478,33,555,19197,Self-Employed,40,Divorced,0,Good,Home Loan,Sanction,2,0
253,919091,8745,55,453,16335,Retired,26,Widowed,0,Good,Personal Loan,Lead,4,0
254,988703,39970,45,841,8420,Self-Employed,30,Widowed,4,Good,Business Loan,Lead,1,0
255,170838,36323,38,794,6134,Self-Employed,39,Single,0,Average,Personal Loan,Disbursement,4,0
256,340674,13882,50,826,1534,Retired,46,Widowed,2,Good,Car Loan,Sanction,0,0
257,884989,13764,60,318,10370,Unemployed,18,Single,0,Good,Personal Loan,File,4,0
258,66087,26565,50,327,1631,Employed,9,Single,1,Good,Personal Loan,Lead,2,0
259,598128,6443,44,796,10429,Employed,26,Divorced,1,Poor,Home Loan,File,0,0
260,123451,15583,46,652,19194,Retired,54,Widowed,0,Good,Business Loan,Disbursement,4,0
261,452600,12136,21,360,6018,Retired,29,Widowed,1,Good,Personal Loan,Lead,0,0
262,842437,23223,53,337,14685,Self-Employed,58,Divorced,3,Good,Personal Loan,File,2,0
263,444792,22342,28,654,4859,Employed,50,Married,3,Good,Personal Loan,Disbursement,0,0
264,44353,11876,32,587,6632,Unemployed,38,Single,4,Average,Home Loan,Disbursement,0,0
265,198075,2746,28,596,5332,Employed,51,Married,2,Good,Personal Loan,Sanction,1,0
266,219283,36952,31,512,15486,Self-Employed,28,Widowed,4,Good,Business Loan,Lead,4,0
267,319877,26330,34,698,17641,Unemployed,17,Single,3,Average,Business Loan,Sanction,4,0
268,70318,16052,38,300,16454,Self-Employed,51,Widowed,2,Good,Personal Loan,File,0,0
269,770313,34576,64,726,1720,Retired,20,Single,3,Good,Business Loan,Disbursement,1,0
270,487690,30606,60,697,16189,Unemployed,28,Single,2,Good,Personal Loan,Disbursement,3,0
271,421880,33001,21,429,737,Employed,46,Married,1,Average,Business Loan,Disbursement,1,0
272,596460,11210,41,307,4506,Unemployed,15,Single,0,Average,Personal Loan,Sanction,2,0
273,745976,17079,30,310,7633,Self-Employed,41,Married,3,Good,Home Loan,File,2,0
274,786239,29154,57,319,3964,Unemployed,34,Single,3,Average,Home Loan,Disbursement,4,0
275,98264,30687,49,614,7944,Retired,18,Widowed,2,Good,Home Loan,Sanction,0,0
276,775746,9148,60,316,3341,Retired,58,Widowed,2,Good,Car Loan,Lead,0,0
277,818168,14855,44,544,14889,Employed,54,Married,3,Poor,Home Loan,Sanction,2,1
278,230281,30516,64,494,12311,Employed,55,Divorced,0,Good,Car Loan,Sanction,4,0
279,642147,17473,56,431,16157,Self-Employed,36,Divorced,4,Average,Home Loan,Disbursement,1,0
280,903613,32285,38,515,6631,Self-Employed,44,Single,4,Good,Car Loan,Lead,4,0
281,399070,24557,35,528,9732,Unemployed,52,Widowed,3,Average,Personal Loan,Sanction,3,0
282,357228,16219,52,552,14835,Retired,21,Married,0,Good,Home Loan,Lead,3,0
283,436839,36470,58,623,193,Self-Employed,53,Divorced,2,Good,Car Loan,Lead,2,0
284,274536,8324,63,378,1900,Self-Employed,16,Married,3,Good,Personal Loan,Sanction,2,0
285,322824,22257,40,773,10608,Unemployed,33,Married,4,Good,Personal Loan,Disbursement,0,0
286,262426,10313,54,358,10023,Retired,59,Divorced,0,Poor,Business Loan,File,1,1
287,182789,28052,29,735,9620,Retired,48,Divorced,0,Average,Personal Loan,File,1,0
288,518153,26603,61,600,3912,Retired,51,Single,4,Good,Personal Loan,File,1,0
289,747452,23762,54,573,10054,Retired,34,Single,3,Good,Business Loan,Sanction,1,0
290,842291,20508,55,554,19951,Unemployed,23,Divorced,4,Good,Home Loan,File,2,0
291,130657,18815,47,605,16018,Retired,51,Married,2,Average,Car Loan,Disbursement,4,0
292,240167,6974,62,589,15375,Retired,37,Married,4,Average,Car Loan,File,2,0
293,686669,22161,38,353,8604,Unemployed,18,Divorced,2,Average,Business Loan,Disbursement,3,0
294,485671,31730,41,481,4343,Retired,47,Widowed,4,Average,Home Loan,Lead,4,0
295,724094,14723,38,607,5773,Self-Employed,40,Single,2,Good,Home Loan,Disbursement,2,0
296,75467,17473,47,713,1853,Retired,47,Married,2,Good,Car Loan,Sanction,1,0
297,188734,3085,51,352,18673,Employed,35,Married,1,Good,Business Loan,Disbursement,2,0
298,627794,24579,48,451,267,Retired,51,Single,3,Average,Personal Loan,File,4,0
299,114751,24643,53,605,8738,Self-Employed,23,Married,0,Good,Personal Loan,File,4,0
300,386050,28670,35,728,16597,Self-Employed,42,Single,0,Average,Home Loan,Disbursement,1,0
301,935192,20869,56,389,13521,Retired,49,Single,2,Good,Car Loan,Sanction,0,0
